"filename", "language", "Python", "JSON", "HTML", "XML", "JavaScript", "Markdown", "Excel", "SQL", "comment", "blank", "total"
"g:\python\SCSystem\.idea\SCSystem.iml", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"g:\python\SCSystem\.idea\dataSources.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"g:\python\SCSystem\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\python\SCSystem\.idea\misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"g:\python\SCSystem\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"g:\python\SCSystem\.idea\sqldialects.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"g:\python\SCSystem\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\python\SCSystem\.idea\webResources.xml", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"g:\python\SCSystem\controler\Admin\Admin.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 11, 11, 27
"g:\python\SCSystem\controler\User\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"g:\python\SCSystem\controler\User\upload.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"g:\python\SCSystem\controler\User\user.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 14, 6, 77
"g:\python\SCSystem\controler\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"g:\python\SCSystem\controler\login.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 17, 12, 82
"g:\python\SCSystem\main.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 6, 3, 19
"g:\python\SCSystem\models\Admin.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 8, 2, 20
"g:\python\SCSystem\models\SC.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 67, 30, 210
"g:\python\SCSystem\models\Student.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 21, 3, 45
"g:\python\SCSystem\models\TC.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 11, 6, 52
"g:\python\SCSystem\models\Teacher.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 12, 10, 52
"g:\python\SCSystem\models\User.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 18, 8, 35
"g:\python\SCSystem\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 8
"g:\python\SCSystem\models\dataread\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"g:\python\SCSystem\models\dataread\datainsert.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 33, 6, 75
"g:\python\SCSystem\models\dataread\read.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 20, 19, 99
"g:\python\SCSystem\models\dataread\readdata.ipynb", "JSON", 0, 134, 0, 0, 0, 0, 0, 0, 0, 1, 135
"g:\python\SCSystem\models\dataread\sc.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 75
"g:\python\SCSystem\models\sign.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 24, 5, 75
"g:\python\SCSystem\models\sqlconnect.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 6, 1, 15
"g:\python\SCSystem\static\.package-lock.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"g:\python\SCSystem\static\databaseInit\Sql_init.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 90, 0, 47, 137
"g:\python\SCSystem\static\databaseInit\Sql_student.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 11
"g:\python\SCSystem\static\databaseInit\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"g:\python\SCSystem\static\html\index.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 2, 4, 38
"g:\python\SCSystem\static\html\login.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 0, 0, 5, 67
"g:\python\SCSystem\static\html\myclasses.html", "HTML", 0, 0, 356, 0, 0, 0, 0, 0, 12, 39, 407
"g:\python\SCSystem\static\html\sign_up.html", "HTML", 0, 0, 76, 0, 0, 0, 0, 0, 1, 3, 80
"g:\python\SCSystem\static\jquery.js", "JavaScript", 0, 0, 0, 0, 6902, 0, 0, 0, 1922, 2085, 10909
"g:\python\SCSystem\static\jquery\README.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 24, 63
"g:\python\SCSystem\static\jquery\bower.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"g:\python\SCSystem\static\jquery\dist\jquery.js", "JavaScript", 0, 0, 0, 0, 6902, 0, 0, 0, 1922, 2086, 10910
"g:\python\SCSystem\static\jquery\dist\jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"g:\python\SCSystem\static\jquery\dist\jquery.slim.js", "JavaScript", 0, 0, 0, 0, 5516, 0, 0, 0, 1593, 1702, 8811
"g:\python\SCSystem\static\jquery\dist\jquery.slim.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"g:\python\SCSystem\static\jquery\external\sizzle\dist\sizzle.js", "JavaScript", 0, 0, 0, 0, 1528, 0, 0, 0, 529, 422, 2479
"g:\python\SCSystem\static\jquery\external\sizzle\dist\sizzle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"g:\python\SCSystem\static\jquery\package.json", "JSON", 0, 117, 0, 0, 0, 0, 0, 0, 0, 1, 118
"g:\python\SCSystem\static\jquery\src\ajax.js", "JavaScript", 0, 0, 0, 0, 524, 0, 0, 0, 181, 172, 877
"g:\python\SCSystem\static\jquery\src\ajax\jsonp.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 16, 22, 104
"g:\python\SCSystem\static\jquery\src\ajax\load.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 0, 17, 16, 78
"g:\python\SCSystem\static\jquery\src\ajax\script.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 6, 9, 75
"g:\python\SCSystem\static\jquery\src\ajax\var\location.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
