Date : 2022-12-02 14:59:09
Directory : g:\python\SCSystem
Total : 163 files,  28967 codes, 7766 comments, 8462 blanks, all 45195 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        118 |     27,271 |      7,434 |      8,186 |     42,891 |
| HTML       |          5 |        610 |         16 |         58 |        684 |
| Python     |         23 |        504 |        316 |        142 |        962 |
| JSON       |          6 |        299 |          0 |          5 |        304 |
| SQL        |          1 |         90 |          0 |         47 |        137 |
| XML        |          8 |         79 |          0 |          0 |         79 |
| Excel      |          1 |         75 |          0 |          0 |         75 |
| Markdown   |          1 |         39 |          0 |         24 |         63 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                    |        163 |     28,967 |      7,766 |      8,462 |     45,195 |
| .idea                                                                |          8 |         79 |          0 |          0 |         79 |
| .idea\inspectionProfiles                                             |          1 |          6 |          0 |          0 |          6 |
| controler                                                            |          6 |        122 |         54 |         35 |        211 |
| controler\Admin                                                      |          1 |          5 |         11 |         11 |         27 |
| controler\User                                                       |          3 |         64 |         20 |         11 |         95 |
| models                                                               |         14 |        577 |        232 |         94 |        903 |
| models\dataread                                                      |          5 |        305 |         59 |         27 |        391 |
| static                                                               |        131 |     28,091 |      7,461 |      8,318 |     43,870 |
| static\databaseInit                                                  |          3 |         90 |         12 |         53 |        155 |
| static\html                                                          |          4 |        526 |         15 |         51 |        592 |
| static\jquery                                                        |        120 |     20,539 |      5,512 |      6,126 |     32,177 |
| static\jquery\dist                                                   |          4 |     12,420 |      3,517 |      3,790 |     19,727 |
| static\jquery\external                                               |          2 |      1,529 |        531 |        422 |      2,482 |
| static\jquery\external\sizzle                                        |          2 |      1,529 |        531 |        422 |      2,482 |
| static\jquery\external\sizzle\dist                                   |          2 |      1,529 |        531 |        422 |      2,482 |
| static\jquery\src                                                    |        111 |      6,420 |      1,464 |      1,889 |      9,773 |
| static\jquery\src\ajax                                               |          7 |        293 |         71 |         82 |        446 |
| static\jquery\src\ajax\var                                           |          3 |         12 |          0 |          6 |         18 |
| static\jquery\src\attributes                                         |          5 |        495 |         63 |        138 |        696 |
| static\jquery\src\core                                               |         15 |        402 |        119 |        157 |        678 |
| static\jquery\src\core\var                                           |          1 |          4 |          2 |          2 |          8 |
| static\jquery\src\css                                                |         14 |        380 |        101 |        130 |        611 |
| static\jquery\src\css\var                                            |          7 |         59 |         21 |         30 |        110 |
| static\jquery\src\data                                               |          4 |        107 |         53 |         39 |        199 |
| static\jquery\src\data\var                                           |          3 |         18 |          9 |          9 |         36 |
| static\jquery\src\deferred                                           |          1 |         12 |          4 |          6 |         22 |
| static\jquery\src\deprecated                                         |          2 |         57 |          2 |         15 |         74 |
| static\jquery\src\effects                                            |          2 |        105 |         13 |         24 |        142 |
| static\jquery\src\event                                              |          3 |        183 |         32 |         56 |        271 |
| static\jquery\src\exports                                            |          2 |         30 |         16 |         16 |         62 |
| static\jquery\src\manipulation                                       |          8 |        174 |         42 |         68 |        284 |
| static\jquery\src\manipulation\var                                   |          2 |          8 |          3 |          4 |         15 |
| static\jquery\src\queue                                              |          1 |         18 |          1 |          5 |         24 |
| static\jquery\src\traversing                                         |          4 |        112 |          6 |         30 |        148 |
| static\jquery\src\traversing\var                                     |          3 |         37 |          0 |         13 |         50 |
| static\jquery\src\var                                                |         22 |        122 |         16 |         55 |        193 |
| test                                                                 |          3 |         88 |         13 |         12 |        113 |
